seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr20	2572176	2572269	chr20_2572176_2572269_+	+	3'AS	chr20_2562010_2572176_+	chr20_2572269_2579146_+	2562010	2579146	3	7.75	7.0	371.64	Brain	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A2562000%2D2579156
chr8	108476679	108476892	chr8_108476679_108476892_+	+	3'AS	chr8_108475963_108476679_+	chr8_108476892_108479006_+	108475963	108479006	103	17.92	7.5	562.89	Muscle,Ovary	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A108475953%2D108479016
chr2	127642919	127643072	chr2_127642919_127643072_-	-	5'AS	chr2_127642199_127642919_-	chr2_127643072_127654424_-	127642199	127654424	4	47.8	9.67	424.67	Blood Vessel,Lung,Nerve	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A127642189%2D127654434
chr3	129140364	129140485	chr3_129140364_129140485_-	-	5'AS	chr3_129134954_129140364_-	chr3_129140485_129145761_-	129134954	129145761	4	17.59	8.0	441.13	Nerve	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A129134944%2D129145771
chr9	35390066	35390121	chr9_35390066_35390121_+	+	CE	chr9_35389973_35390066_+	chr9_35390121_35390629_+	35389973	35390629	55	14.14	9.0	630.0	Muscle	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A35389963%2D35390639
chr2	26254413	26254474	chr2_26254413_26254474_+	+	3'AS	chr2_26254318_26254413_+	chr2_26254474_26263380_+	26254318	26263380	17	11.58	13.0	417.0	Blood,Prostate	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A26254308%2D26263390
chr17	35021371	35021784	chr17_35021371_35021784_-	-	3'AS	chr17_35017606_35021371_-	chr17_35021784_35026374_-	35017606	35026374	3	7.78	9.0	641.0	""	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A35017596%2D35026384
chr9	131650129	131650266	chr9_131650129_131650266_-	-	3'AS	chr9_131643417_131650129_-	chr9_131650266_131650810_-	131643417	131650810	24	13.16	10.0	656.0	Muscle	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A131643407%2D131650820
chr6	17284876	17284962	chr6_17284876_17284962_+	+	CE	chr6_17284711_17284876_+	chr6_17284962_17285053_+	17284711	17285053	86	100.62	38.5	764.0	Muscle	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A17284701%2D17285063
chr11	72402966	72403115	chr11_72402966_72403115_-	-	3'AS	chr11_72380384_72402966_-	chr11_72403115_72430312_-	72380384	72430312	63	24.76	193.0	523.0	Testis	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A72380374%2D72430322
chr20	34859969	34860130	chr20_34859969_34860130_-	-	3'AS	chr20_34859639_34859969_-	chr20_34860130_34860254_-	34859639	34860254	88	20.11	10.6	627.0	Adipose Tissue,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	691	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A34859629%2D34860264
chr16	30722122	30722290	chr16_30722122_30722290_+	+	5'AS	chr16_30721476_30722122_+	chr16_30722290_30722963_+	30721476	30722963	4	8.99	6.41	631.0	Adipose Tissue,Blood Vessel,Brain,Breast,Heart,Lung,Muscle,Ovary,Prostate,Stomach,Thyroid,Uterus	37	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A30721466%2D30722973
chr15	42396800	42396908	chr15_42396800_42396908_+	+	5'AS	chr15_42394341_42396800_+	chr15_42396908_42399492_+	42394341	42399492	31	9.35	7.33	518.0	Colon,Skin	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A42394331%2D42399502
chr7	76280055	76280074	chr7_76280055_76280074_+	+	CE	chr7_76273595_76280055_+	chr7_76280074_76281441_+	76273595	76281441	19	112.33	60.05	693.0	Adrenal Gland,Brain,Pituitary,Skin	535	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A76273585%2D76281451
chr18	72748263	72748309	chr18_72748263_72748309_-	-	CE	chr18_72748164_72748263_-	chr18_72748309_72749014_-	72748164	72749014	46	19.2	9.43	716.0	Brain	14	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr18%3A72748154%2D72749024
chr17	28695330	28695547	chr17_28695330_28695547_+	+	3'AS	chr17_28693836_28695330_+	chr17_28695547_28696844_+	28693836	28696844	22	16.43	7.67	632.0	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Breast,Esophagus,Liver,Lung,Muscle,Nerve,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	155	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A28693826%2D28696854
chr7	100590210	100590331	chr7_100590210_100590331_-	-	5'AS	chr7_100590082_100590210_-	chr7_100590331_100592825_-	100590082	100592825	20	13.79	5.67	544.0	Nerve,Ovary	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A100590072%2D100592835
chr19	40204485	40204657	chr19_40204485_40204657_+	+	5'AS	chr19_40198555_40204485_+	chr19_40204657_40205121_+	40198555	40205121	24	21.63	9.42	561.0	Adipose Tissue,Blood Vessel,Brain,Esophagus,Heart,Lung,Muscle,Ovary,Testis,Thyroid,Uterus	45	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A40198545%2D40205131
chr1	151139876	151140090	chr1_151139876_151140090_-	-	5'AS	chr1_151139701_151139876_-	chr1_151140090_151142504_-	151139701	151142504	100	5.88	5.5	601.0	Nerve,Skin	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A151139691%2D151142514
chr1	32074943	32075077	chr1_32074943_32075077_+	+	3'AS	chr1_32073051_32074943_+	chr1_32075077_32075603_+	32073051	32075603	8	5.88	5.0	520.0	Nerve	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A32073041%2D32075613
chr12	553194	553988	chr12_553194_553988_+	+	5'AS	chr12_552528_553194_+	chr12_553988_556547_+	552528	556547	5	12.6	10.23	417.0	Blood Vessel,Brain,Colon,Esophagus,Heart,Lung,Pituitary,Skin,Stomach,Testis	31	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A552518%2D556557
chr7	128801186	128801482	chr7_128801186_128801482_+	+	5'AS	chr7_128794768_128801186_+	chr7_128801482_128804650_+	128794768	128804650	9	28.7	19.07	506.0	Blood Vessel,Brain,Colon,Esophagus,Prostate,Skin,Stomach	83	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A128794758%2D128804660
chr12	39586152	39586324	chr12_39586152_39586324_-	-	3'AS	chr12_39579619_39586152_-	chr12_39586324_39600571_-	39579619	39600571	27	6.3	5.0	478.03	Adipose Tissue	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A39579609%2D39600581
chr8	22102145	22102315	chr8_22102145_22102315_+	+	3'AS	chr8_22101851_22102145_+	chr8_22102315_22102528_+	22101851	22102528	30	8.02	5.0	576.0	Brain	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A22101841%2D22102538
chr12	64193839	64194658	chr12_64193839_64194658_-	-	5'AS	chr12_64187652_64193839_-	chr12_64194658_64215678_-	64187652	64215678	8	5.4	5.0	633.0	Adipose Tissue	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A64187642%2D64215688
chr14	71048990	71049145	chr14_71048990_71049145_+	+	CE	chr14_71047984_71048990_+	chr14_71049145_71050652_+	71047984	71050652	155	22.37	13.9	435.0	Adipose Tissue,Blood,Breast,Colon,Esophagus,Lung,Nerve,Testis	245	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A71047974%2D71050662
chr8	124351038	124351118	chr8_124351038_124351118_-	-	CE	chr8_124330792_124351038_-	chr8_124351118_124371854_-	124330792	124371854	80	13.35	7.67	319.56	Muscle	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A124330782%2D124371864
chr11	117914609	117914647	chr11_117914609_117914647_-	-	CE	chr11_117914514_117914609_-	chr11_117914647_117917170_-	117914514	117917170	38	12.94	6.5	533.0	Esophagus,Skin	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A117914504%2D117917180
chr12	4279263	4279372	chr12_4279263_4279372_+	+	CE	chr12_4278919_4279263_+	chr12_4279372_4285275_+	4278919	4285275	109	10.7	6.0	275.57	Blood	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A4278909%2D4285285
chr9	138017139	138017201	chr9_138017139_138017201_+	+	CE	chr9_138013235_138017139_+	chr9_138017201_138023011_+	138013235	138023011	62	23.53	10.73	563.0	Brain	11	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A138013225%2D138023021
chr1	99693804	99693922	chr1_99693804_99693922_+	+	CE	chr1_99689872_99693804_+	chr1_99693922_99694019_+	99689872	99694019	118	22.01	7.5	574.0	Brain	4	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A99689862%2D99694029
chr3	130660170	130660279	chr3_130660170_130660279_+	+	CE	chr3_130658772_130660170_+	chr3_130660279_130661637_+	130658772	130661637	109	18.62	14.18	303.6	Lung,Pituitary	28	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A130658762%2D130661647
chr22	31266532	31266550	chr22_31266532_31266550_+	+	CE	chr22_31266132_31266532_+	chr22_31266550_31266984_+	31266132	31266984	18	17.11	7.94	471.0	Blood Vessel,Brain,Muscle,Skin	18	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A31266122%2D31266994
chr9	108983417	108983459	chr9_108983417_108983459_-	-	CE	chr9_108983315_108983417_-	chr9_108983459_108984347_-	108983315	108984347	42	9.88	6.0	556.0	Brain	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A108983305%2D108984357
chr2	179183068	179183188	chr2_179183068_179183188_-	-	5'AS	chr2_179176538_179183068_-	chr2_179183188_179191787_-	179176538	179191787	12	7.13	9.89	497.0	Brain	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A179176528%2D179191797
chr13	32178844	32179064	chr13_32178844_32179064_+	+	5'AS	chr13_32178436_32178844_+	chr13_32179064_32179675_+	32178436	32179675	31	9.62	8.67	670.0	Brain,Muscle	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A32178426%2D32179685
chr5	173080585	173080798	chr5_173080585_173080798_+	+	5'AS	chr5_173056479_173080585_+	chr5_173080798_173086501_+	173056479	173086501	14	7.33	11.4	563.0	Adipose Tissue,Blood,Blood Vessel,Breast	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A173056469%2D173086511
chr12	62389783	62389988	chr12_62389783_62389988_+	+	3'AS	chr12_62389699_62389783_+	chr12_62389988_62390864_+	62389699	62390864	14	8.43	7.5	599.0	""	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A62389689%2D62390874
chr1	166923076	166923192	chr1_166923076_166923192_-	-	CE	chr1_166922809_166923076_-	chr1_166923192_166927067_-	166922809	166927067	116	14.51	7.78	179.72	Testis	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A166922799%2D166927077
chr20	37988814	37988939	chr20_37988814_37988939_-	-	CE	chr20_37983639_37988814_-	chr20_37988939_37996375_-	37983639	37996375	125	17.63	7.8	225.45	Testis	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A37983629%2D37996385
chr3	183988293	183988359	chr3_183988293_183988359_-	-	CE	chr3_183987917_183988293_-	chr3_183988359_183988572_-	183987917	183988572	66	59.26	8.0	613.0	Muscle	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A183987907%2D183988582
chr16	70679110	70679248	chr16_70679110_70679248_-	-	CE	chr16_70678409_70679110_-	chr16_70679248_70679630_-	70678409	70679630	138	36.7	15.25	316.32	Blood Vessel,Esophagus,Ovary	8	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A70678399%2D70679640
chr9	93556359	93556591	chr9_93556359_93556591_+	+	3'AS	chr9_93550691_93556359_+	chr9_93556591_93557827_+	93550691	93557827	23	16.12	8.0	622.0	Brain	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A93550681%2D93557837
chr1	53871368	53871488	chr1_53871368_53871488_-	-	5'AS	chr1_53866924_53871368_-	chr1_53871488_53878315_-	53866924	53878315	4	26.31	10.0	553.0	Breast	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A53866914%2D53878325
chr8	18006226	18006397	chr8_18006226_18006397_+	+	3'AS	chr8_17993619_18006226_+	chr8_18006397_18009547_+	17993619	18009547	37	16.43	10.38	509.25	Adipose Tissue,Adrenal Gland,Blood Vessel,Brain,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Lung,Muscle,Nerve,Ovary,Pituitary,Prostate,Testis,Thyroid,Uterus,Vagina	136	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A17993609%2D18009557
chr5	140560313	140560526	chr5_140560313_140560526_-	-	3'AS	chr5_140558821_140560313_-	chr5_140560526_140560639_-	140558821	140560639	22	19.54	17.84	568.33	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	1235	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A140558811%2D140560649
chr17	74851566	74851691	chr17_74851566_74851691_-	-	5'AS	chr17_74850767_74851566_-	chr17_74851691_74852013_-	74850767	74852013	11	22.93	13.84	566.0	Brain,Heart,Thyroid	67	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A74850757%2D74852023
