exon_id	seqname	start	end	strand	event_type	sample_name	is_annotated	coord_prev	coord_next	junction_id_l	junction_id_r	is_annotated_right	cov	ipsa_min	exon_id_right	cov_right	start_right	end_right	novel_start	novel_end	novel_length	cons_avg	ann_frac	cons_avg_ann_cdf	ipsa_min_ann_cdf	cov_ann_cdf	ann_cdf_min	refseq_annotated	is_left_novel	is_right_novel	meta
chrX_48954648_48954721_-	chrX	48954648	48954721	-	CE	CHX_M4_10	false	48944283	48956977	chrX_48944283_48954648_-	chrX_48954721_48956977_-	true	19.96284	16					48954648	48954721	73	29.357182	0.0	0.2967	0.4087	0.3563	0.2967	false	true	true	CHX
chr1_155263573_155263708_-	chr1	155263573	155263708	-	CE	CHX_M4_10	false	155263400	155263950	chr1_155263400_155263573_-	chr1_155263708_155263950_-	true	6.683824	7					155263573	155263708	135	0.0	0.0	0.2313	0.2235	0.1148	0.1148	false	true	true	CHX
chr12_55969897_55970050_+	chr12	55969897	55970050	+	CE	CHX_M4_10	false	55969576	55971044	chr12_55969576_55969897_+	chr12_55970050_55971044_+	true	42.03896	24					55969897	55970050	153	0.0	0.0	0.2313	0.5017	0.5475	0.2313	false	true	true	CHX
chr1_211671740_211671913_-	chr1	211671740	211671913	-	CE	CHX_M4_10	false	211671284	211673483	chr1_211671284_211671740_-	chr1_211671913_211673483_-	true	2.839081	3					211671740	211671913	173	20.146871	0.0	0.284	0.0543	0.0226	0.0226	false	true	true	CHX
chr2_46998669_46998879_+	chr2	46998669	46998879	+	CE	CHX_M4_10	false	46995199	47005922	chr2_46995199_46998669_+	chr2_46998879_47005922_+	true	6.957346	3					46998669	46998879	210	16.258025601433	0.0	0.2776	0.0543	0.1227	0.0543	false	true	true	CHX
chr22_23960691_23960794_-	chr22	23960691	23960794	-	CE	CHX_M4_10	false	23960381	23961020	chr22_23960381_23960691_-	chr22_23960794_23961020_-	true	12.129807	6					23960691	23960794	103	0.0	0.0	0.2313	0.1926	0.2421	0.1926	false	true	true	CHX
chr10_99817064_99817196_+	chr10	99817064	99817196	+	CE	CHX_M4_10	false	99813144	99817308	chr10_99813144_99817064_+	chr10_99817196_99817308_+	true	32.902256	18					99817064	99817196	132	17.006976	0.0	0.2787	0.4334	0.4847	0.2787	false	true	true	CHX
chr8_102269489_102269511_-	chr8	102269489	102269511	-	CE	CHX_M4_10	false	102269108	102270039	chr8_102269108_102269489_-	chr8_102269511_102270039_-	true	4.0	3					102269489	102269511	22	44.060562000000004	0.0	0.3132	0.0543	0.0474	0.0474	false	true	true	CHX
chr14_35112045_35112192_-	chr14	35112045	35112192	-	CE	CHX_M4_10	false	35110629	35116610	chr14_35110629_35112045_-	chr14_35112192_35116610_-	true	11.108121	6					35112045	35112192	147	10.974775000000001	0.0	0.2628	0.1926	0.2214	0.1926	false	true	true	CHX
chr3_108566042_108566078_-	chr3	108566042	108566078	-	CE	CHX_M4_10	false	108565454	108566497	chr3_108565454_108566042_-	chr3_108566078_108566497_-	true	10.486486	9					108566042	108566078	36	0.0	0.0	0.2313	0.2801	0.2097	0.2097	false	true	true	CHX
chr7_149211671_149211723_+	chr7	149211671	149211723	+	CE	CHX_M4_10	false	149210704	149212358	chr7_149210704_149211671_+	chr7_149211723_149212358_+	true	15.226415	9					149211671	149211723	52	0.0	0.0	0.2313	0.2801	0.2928	0.2313	false	true	true	CHX
chr15_66708499_66708738_+	chr15	66708499	66708738	+	CE	CHX_M4_10	false	66704075	66711668	chr15_66704075_66708499_+	chr15_66708738_66711668_+	true	10.677333	11					66708499	66708738	239	21.855999999999998	0.0	0.2863	0.3252	0.2133	0.2133	false	true	true	CHX
chr1_70423215_70423272_+	chr1	70423215	70423272	+	CE	CHX_M4_10	false	70421675	70424285	chr1_70421675_70423215_+	chr1_70423272_70424285_+	true	21.155106	17					70423215	70423272	57	11.955978	0.0	0.2667	0.4207	0.3715	0.2667	false	true	true	CHX
chr9_134049676_134049757_-	chr9	134049676	134049757	-	CE	CHX_M4_10	false	134048454	134050374	chr9_134048454_134049676_-	chr9_134049757_134050374_-	true	3.52439	3					134049676	134049757	81	584.978420583004	0.0	0.7779	0.0543	0.0341	0.0341	false	true	true	CHX
chr19_16156561_16156756_+	chr19	16156561	16156756	+	CE	CHX_M4_10	false	16155763	16157210	chr19_16155763_16156561_+	chr19_16156756_16157210_+	true	7.67347	5					16156561	16156756	195	0.0	0.0	0.2313	0.1507	0.1427	0.1427	false	true	true	CHX
chr10_42795506_42795656_+	chr10	42795506	42795656	+	CE	CHX_M4_10	false	42793991	42796474	chr10_42793991_42795506_+	chr10_42795656_42796474_+	true	12.701986	8					42795506	42795656	150	0.0	0.0	0.2313	0.2516	0.2525	0.2313	false	true	true	CHX
chr10_18586295_18588672_-	chr10	18586295	18588672	-	CE	CHX_M4_10	false	18586093	18596208	chr10_18586093_18586295_-	chr10_18588672_18596208_-	true	22.232548	17					18586295	18588672	2377	10.593892808569999	0.0	0.2605	0.4207	0.3825	0.2605	false	true	true	CHX
chr2_100934860_100935131_+	chr2	100934860	100935131	+	CE	CHX_M4_10	false	100933001	100937753	chr2_100933001_100934860_+	chr2_100935131_100937753_+	true	7.432385	6					100934860	100935131	271	1.024794	0.0	0.2315	0.1926	0.1346	0.1346	false	true	true	CHX
chr5_5453116_5453212_+	chr5	5453116	5453212	+	CE	CHX_M4_10	false	5447897	5454552	chr5_5447897_5453116_+	chr5_5453212_5454552_+	true	12.680412	6					5453116	5453212	96	401.271166459279	0.0	0.5466	0.1926	0.252	0.1926	false	true	true	CHX
chrX_70162346_70162464_+	chrX	70162346	70162464	+	CE	CHX_M4_10	false	70150322	70165833	chrX_70150322_70162346_+	chrX_70162464_70165833_+	true	13.184869	6					70162346	70162464	118	0.0	0.0	0.2313	0.1926	0.2598	0.1926	false	true	true	CHX
chr2_48462196_48462272_+	chr2	48462196	48462272	+	CE	CHX_M4_10	false	48461232	48464937	chr2_48461232_48462196_+	chr2_48462272_48464937_+	true	10.233767	7					48462196	48462272	76	6.2300189999999995	0.0	0.2465	0.2235	0.2039	0.2039	false	true	true	CHX
chr4_112180674_112180858_+	chr4	112180674	112180858	+	CE	CHX_M4_10	false	112145733	112186693	chr4_112145733_112180674_+	chr4_112180858_112186693_+	true	11.475676	8					112180674	112180858	184	19.143623918314997	0.0	0.2824	0.2516	0.2299	0.2299	false	true	true	CHX
chr16_70679110_70679248_-	chr16	70679110	70679248	-	CE	CHX_M4_10	false	70678409	70679630	chr16_70678409_70679110_-	chr16_70679248_70679630_-	true	3.654676	3					70679110	70679248	138	247.342443696135	0.0	0.4016	0.0543	0.038	0.038	false	true	true	CHX
chr1_2393270_2393355_+	chr1	2393270	2393355	+	CE	CHX_M4_10	false	2391958	2395784	chr1_2391958_2393270_+	chr1_2393355_2395784_+	true	29.33074	24					2393270	2393355	85	0.0	0.0	0.2313	0.5017	0.4539	0.2313	false	true	true	CHX
chr12_12504511_12504686_-	chr12	12504511	12504686	-	CE	CHX_M4_10	false	12500682	12519862	chr12_12500682_12504511_-	chr12_12504686_12519862_-	true	16.53409	12					12504511	12504686	175	18.575231688172003	0.0	0.2822	0.3436	0.3125	0.2822	false	true	true	CHX
chr1_52394554_52394615_-	chr1	52394554	52394615	-	CE	CHX_M4_10	false	52393803	52396046	chr1_52393803_52394554_-	chr1_52394615_52396046_-	true	24.758064	25					52394554	52394615	61	23.666572000000002	0.0	0.2886	0.5114	0.4081	0.2886	false	true	true	CHX
chr3_5192270_5192357_+	chr3	5192270	5192357	+	CE	CHX_M4_10	false	5188314	5195209	chr3_5188314_5192270_+	chr3_5192357_5195209_+	true	5.795455	4					5192270	5192357	87	22.755198749999998	0.0	0.2875	0.1049	0.0921	0.0921	false	true	true	CHX
chr9_4726083_4727924_-	chr9	4726083	4727924	-	CE	CHX_M4_10	false	4722625	4740937	chr9_4722625_4726083_-	chr9_4727924_4740937_-	true	8.533807	4					4726083	4727924	1841	14.732751141696001	0.0	0.275	0.1049	0.1659	0.1049	false	true	true	CHX
chr9_4690890_4691141_+	chr9	4690890	4691141	+	CE	CHX_M4_10	false	4688606	4697096	chr9_4688606_4690890_+	chr9_4691141_4697096_+	true	11.896826	6					4690890	4691141	251	43.034237200330004	0.0	0.3128	0.1926	0.2368	0.1926	false	true	true	CHX
chr7_66110292_66110415_+	chr7	66110292	66110415	+	CE	CHX_M4_10	false	66092663	66127704	chr7_66092663_66110292_+	chr7_66110415_66127704_+	true	10.056452	8					66110292	66110415	123	0.0	0.0	0.2313	0.2516	0.2014	0.2014	false	true	true	CHX
chr20_45944245_45944320_+	chr20	45944245	45944320	+	CE	CHX_M4_10	false	45943765	45944868	chr20_45943765_45944245_+	chr20_45944320_45944868_+	true	7.56579	7					45944245	45944320	75	504.139677216458	0.0	0.6934	0.2235	0.1381	0.1381	false	true	true	CHX
chr11_59641377_59641585_-	chr11	59641377	59641585	-	CE	CHX_M4_10	false	59639383	59642880	chr11_59639383_59641377_-	chr11_59641585_59642880_-	true	42.373207	36					59641377	59641585	208	0.0	0.0	0.2313	0.597	0.5503	0.2313	false	true	true	CHX
chr8_76991612_76991666_-	chr8	76991612	76991666	-	CE	CHX_M4_10	false	76988338	76999990	chr8_76988338_76991612_-	chr8_76991666_76999990_-	true	3.0	3					76991612	76991666	54	7.907633000000001	0.0	0.2513	0.0543	0.0255	0.0255	false	true	true	CHX
chr14_45046901_45047024_+	chr14	45046901	45047024	+	CE	CHX_M4_10	false	45046703	45052436	chr14_45046703_45046901_+	chr14_45047024_45052436_+	true	4.282258	4					45046901	45047024	123	206.37323328925797	0.0	0.385	0.1049	0.0518	0.0518	false	true	true	CHX
chr11_59657080_59657153_-	chr11	59657080	59657153	-	CE	CHX_M4_10	false	59656600	59657530	chr11_59656600_59657080_-	chr11_59657153_59657530_-	true	86.02702	72					59657080	59657153	73	0.0	0.0	0.2313	0.7551	0.7339	0.2313	false	true	true	CHX
chr12_56578689_56578867_+	chr12	56578689	56578867	+	CE	CHX_M4_10	false	56571855	56581184	chr12_56571855_56578689_+	chr12_56578867_56581184_+	true	4.480447	4					56578689	56578867	178	0.0	0.0	0.2313	0.1049	0.0552	0.0552	false	true	true	CHX
chr1_108167721_108167847_-	chr1	108167721	108167847	-	CE	CHX_M4_10	false	108161293	108181941	chr1_108161293_108167721_-	chr1_108167847_108181941_-	true	10.291358	8					108167721	108167847	126	0.0	0.0	0.2313	0.2516	0.2055	0.2055	false	true	true	CHX
chr6_55772749_55772911_-	chr6	55772749	55772911	-	CE	CHX_M4_10	false	55760533	55774049	chr6_55760533_55772749_-	chr6_55772911_55774049_-	true	7.447852	6					55772749	55772911	162	21.080986210720003	0.0	0.2856	0.1926	0.1351	0.1351	false	true	true	CHX
chr16_50340323_50340384_-	chr16	50340323	50340384	-	CE	CHX_M4_10	false	50340086	50350023	chr16_50340086_50340323_-	chr16_50340384_50350023_-	true	9.612904	6					50340323	50340384	61	7.6945060000000005	0.0	0.2511	0.1926	0.1908	0.1908	false	true	true	CHX
chr19_53439828_53439933_+	chr19	53439828	53439933	+	CE	CHX_M4_10	false	53432028	53441796	chr19_53432028_53439828_+	chr19_53439933_53441796_+	true	12.31132	3					53439828	53439933	105	0.0	0.0	0.2313	0.0543	0.2446	0.0543	false	true	true	CHX
chr1_156264314_156264443_-	chr1	156264314	156264443	-	CE	CHX_M4_10	false	156263570	156265781	chr1_156263570_156264314_-	chr1_156264443_156265781_-	true	5.584615	5					156264314	156264443	129	0.0	0.0	0.2313	0.1507	0.0865	0.0865	false	true	true	CHX
chr5_14311295_14311495_+	chr5	14311295	14311495	+	CE	CHX_M4_10	false	14304592	14316513	chr5_14304592_14311295_+	chr5_14311495_14316513_+	true	5.502488	7					14311295	14311495	200	6.236853000000001	0.0	0.2465	0.2235	0.0842	0.0842	false	true	true	CHX
chr6_34649709_34649830_-	chr6	34649709	34649830	-	CE	CHX_M4_10	false	34646798	34654625	chr6_34646798_34649709_-	chr6_34649830_34654625_-	true	19.122952	10					34649709	34649830	121	0.0	0.0	0.2313	0.304	0.3457	0.2313	false	true	true	CHX
chr6_149728379_149728560_-	chr6	149728379	149728560	-	CE	CHX_M4_10	false	149727198	149731613	chr6_149727198_149728379_-	chr6_149728560_149731613_-	true	9.324175	6					149728379	149728560	181	20.46875	0.0	0.2847	0.1926	0.1832	0.1832	false	true	true	CHX
chr9_27337684_27337827_-	chr9	27337684	27337827	-	CE	CHX_M4_10	false	27330616	27359034	chr9_27330616_27337684_-	chr9_27337827_27359034_-	true	6.777778	6					27337684	27337827	143	0.0	0.0	0.2313	0.1926	0.1178	0.1178	false	true	true	CHX
chr1_35562792_35562880_+	chr1	35562792	35562880	+	CE	CHX_M4_10	false	35562633	35563202	chr1_35562633_35562792_+	chr1_35562880_35563202_+	true	3.662921	3					35562792	35562880	88	18.080789979798	0.0	0.281	0.0543	0.0384	0.0384	false	true	true	CHX
chr6_122429993_122430148_+	chr6	122429993	122430148	+	CE	CHX_M4_10	false	122427956	122431430	chr6_122427956_122429993_+	chr6_122430148_122431430_+	true	4.929487	3					122429993	122430148	155	382.0	0.0	0.5178	0.0543	0.0681	0.0543	false	true	true	CHX
chr17_58590378_58590413_-	chr17	58590378	58590413	-	CE	CHX_M4_10	false	58588021	58593555	chr17_58588021_58590378_-	chr17_58590413_58593555_-	true	16.777779	13					58590378	58590413	35	62.825999	0.0	0.3259	0.362	0.3176	0.3176	false	true	true	CHX
chr2_72135853_72135956_-	chr2	72135853	72135956	-	CE	CHX_M4_10	false	72135419	72143989	chr2_72135419_72135853_-	chr2_72135956_72143989_-	true	8.538462	3					72135853	72135956	103	0.0	0.0	0.2313	0.0543	0.1662	0.0543	false	true	true	CHX
chr2_170844961_170845050_+	chr2	170844961	170845050	+	CE	CHX_M4_10	false	170844157	170845506	chr2_170844157_170844961_+	chr2_170845050_170845506_+	true	7.3	3					170844961	170845050	89	123.55000008	0.0	0.3517	0.0543	0.131	0.0543	false	true	true	CHX
chr1_205627742_205627874_-	chr1	205627742	205627874	-	CE	CHX_M4_10	false	205623891	205631632	chr1_205623891_205627742_-	chr1_205627874_205631632_-	true	26.909775	15					205627742	205627874	132	7.748244	0.0	0.2511	0.3959	0.4322	0.2511	false	true	true	CHX
chr3_50160877_50161002_+	chr3	50160877	50161002	+	CE	CHX_M4_10	false	50159734	50173793	chr3_50159734_50160877_+	chr3_50161002_50173793_+	true	6.468254	3					50160877	50161002	125	72.33808518573	0.0	0.3307	0.0543	0.11	0.0543	false	true	true	CHX
chr16_28166668_28167786_-	chr16	28166668	28167786	-	CE	CHX_M4_10	false	28166585	28169750	chr16_28166585_28166668_-	chr16_28167786_28169750_-	true	30.942806	11					28166668	28167786	1118	1.7306857134	0.0	0.2327	0.3252	0.467	0.2327	false	true	true	CHX
chr16_3396560_3396646_-	chr16	3396560	3396646	-	CE	CHX_M4_10	false	3393814	3397192	chr16_3393814_3396560_-	chr16_3396646_3397192_-	true	10.528735	5					3396560	3396646	86	0.0	0.0	0.2313	0.1507	0.2106	0.1507	false	true	true	CHX
chr21_25760033_25760167_+	chr21	25760033	25760167	+	CE	CHX_M4_10	false	25758204	25762312	chr21_25758204_25760033_+	chr21_25760167_25762312_+	true	8.096296	3					25760033	25760167	134	15.613676	0.0	0.2769	0.0543	0.153	0.0543	false	true	true	CHX
chr21_45278298_45281242_-	chr21	45278298	45281242	-	CE	CHX_M4_10	false	45278169	45282349	chr21_45278169_45278298_-	chr21_45281242_45282349_-	true	7.563667	4					45278298	45281242	2944	0.893376	0.0	0.2313	0.1049	0.1381	0.1049	false	true	true	CHX
chr5_41916306_41916447_+	chr5	41916306	41916447	+	CE	CHX_M4_10	false	41912183	41917016	chr5_41912183_41916306_+	chr5_41916447_41917016_+	true	8.760564	5					41916306	41916447	141	14.855381999999999	0.0	0.2753	0.1507	0.1726	0.1507	false	true	true	CHX
chr6_75621927_75621971_+	chr6	75621927	75621971	+	CE	CHX_M4_10	false	75621625	75623900	chr6_75621625_75621927_+	chr6_75621971_75623900_+	true	7.444445	5					75621927	75621971	44	29.1818425	0.0	0.2967	0.1507	0.1351	0.1351	false	true	true	CHX
chr7_67013387_67013560_+	chr7	67013387	67013560	+	CE	CHX_M4_10	false	67009684	67014367	chr7_67009684_67013387_+	chr7_67013560_67014367_+	true	4.928161	3					67013387	67013560	173	0.0	0.0	0.2313	0.0543	0.0681	0.0543	false	true	true	CHX
chr2_11288350_11288449_-	chr2	11288350	11288449	-	CE	CHX_M4_10	false	11287736	11343996	chr2_11287736_11288350_-	chr2_11288449_11343996_-	true	7.55	5					11288350	11288449	99	32.4727273	0.0	0.3013	0.1507	0.1379	0.1379	false	true	true	CHX
chr2_28410112_28410225_+	chr2	28410112	28410225	+	CE	CHX_M4_10	false	28408866	28411930	chr2_28408866_28410112_+	chr2_28410225_28411930_+	true	274.9737	146					28410112	28410225	113	7.314652658601999	0.0	0.2499	0.873	0.9171	0.2499	false	true	true	CHX
chr5_148411080_148411238_+	chr5	148411080	148411238	+	CE	CHX_M4_11	false	148410765	148414136	chr5_148410765_148411080_+	chr5_148411238_148414136_+	true	9.918239	4					148411080	148411238	158	0.0	0.0	0.2287	0.1117	0.1995	0.1117	false	true	true	CHX
chr1_52394554_52394615_-	chr1	52394554	52394615	-	CE	CHX_M4_11	false	52393803	52396046	chr1_52393803_52394554_-	chr1_52394615_52396046_-	true	22.564516	22					52394554	52394615	61	23.666572000000002	0.0	0.2846	0.4965	0.4011	0.2846	false	true	true	CHX
chr6_87499094_87499166_+	chr6	87499094	87499166	+	CE	CHX_M4_11	false	87477539	87500508	chr6_87477539_87499094_+	chr6_87499166_87500508_+	true	4.712329	3					87499094	87499166	72	29.686624	0.0	0.2926	0.06	0.0571	0.0571	false	true	true	CHX
chr10_102921027_102921115_+	chr10	102921027	102921115	+	CE	CHX_M4_11	false	102920101	102927345	chr10_102920101_102921027_+	chr10_102921115_102927345_+	true	20.033709	9					102921027	102921115	88	10.383828000000001	0.0	0.2573	0.2799	0.3719	0.2573	false	true	true	CHX
chr17_16008978_16009200_+	chr17	16008978	16009200	+	CE	CHX_M4_11	false	16006568	16025017	chr17_16006568_16008978_+	chr17_16009200_16025017_+	true	12.309413	12					16008978	16009200	222	6.4376999999999995	0.0	0.2443	0.3465	0.2519	0.2443	false	true	true	CHX
